,Brand Name,Smartphone Name,color,RAM,Storage/ROM,primary Camera,Secondary Camera,Display size,Display Resolution,Processor,Processor-core,Battery Capacity,Price,Product url
10,REDMI ,"REDMI 9 Prime (Matte Black, 64 GB)  (4 GB RAM)",Matte Black,4 GB,64 GB,13MP + 8MP + 5MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,999",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmeeb1764ec0fcf?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFUSCC57HCZGKG.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
11,REDMI ,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",Midnight Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,299",https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm0e1018dac2627?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEV2QOWQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFV8RYKWQ3HACE.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
12,REDMI ,"REDMI 9i (Nature Green, 64 GB)  (4 GB RAM)",Nature Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,299",https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7GEI6Y9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
13,REDMI ,"REDMI 9 Power (Mighty Black, 64 GB)  (4 GB RAM)",Mighty Black,4 GB,64 GB,48MP + 8MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080$$pixel,Qualcomm Snapdragon 662,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 10,999",https://www.flipkart.com/redmi-9-power-mighty-black-64-gb/p/itm481ab234a6553?pid=MOBFYZ94UWPWQRNF&lid=LSTMOBFYZ94UWPWQRNFD8SF5T&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFYZ94UWPWQRNF.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
14,realme ,"realme Narzo 30 (Racing Silver, 64 GB)  (4 GB RAM)",Racing Silver,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-30-racing-silver-64-gb/p/itm957dacbc8270c?pid=MOBG3W3GZRGE2JRF&lid=LSTMOBG3W3GZRGE2JRFDEWPEN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBG3W3GZRGE2JRF.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
15,realme ,"realme Narzo 30 (Racing Blue, 64 GB)  (4 GB RAM)",Racing Blue,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-30-racing-blue-64-gb/p/itm957dacbc8270c?pid=MOBG3W3GWGZYP5TE&lid=LSTMOBG3W3GWGZYP5TEROFQKU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBG3W3GWGZYP5TE.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
16,POCO ,"POCO C3 (Matte Black, 64 GB)  (4 GB RAM)",Matte Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/poco-c3-matte-black-64-gb/p/itm4e94ab7e418af?pid=MOBFVQJ5KGSJXCKG&lid=LSTMOBFVQJ5KGSJXCKGANFINT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFVQJ5KGSJXCKG.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
17,REDMI ,"REDMI 9 Power (Blazing Blue, 64 GB)  (4 GB RAM)",Blazing Blue,4 GB,64 GB,48MP + 8MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080$$pixel,Qualcomm Snapdragon 662,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 10,999",https://www.flipkart.com/redmi-9-power-blazing-blue-64-gb/p/itm9533b02ba34ef?pid=MOBFYZ7HHGJUATYD&lid=LSTMOBFYZ7HHGJUATYDFYZRIS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFYZ7HHGJUATYD.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
18,POCO ,"POCO M3 (Cool Blue, 64 GB)  (6 GB RAM)",Cool Blue,6 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 11,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itmc8ec867cb0472?pid=MOBFZTCUDDCTDN3G&lid=LSTMOBFZTCUDDCTDN3GJBLKQ8&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFZTCUDDCTDN3G.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
19,POCO ,"POCO C3 (Matte Black, 32 GB)  (3 GB RAM)",Matte Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 7,499",https://www.flipkart.com/poco-c3-matte-black-32-gb/p/itm1ee2f6513ac1c?pid=MOBFVQJ5YCRFFXPB&lid=LSTMOBFVQJ5YCRFFXPBPG5BWJ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFVQJ5YCRFFXPB.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
20,REDMI ,"REDMI 9 Prime (Space Blue, 64 GB)  (4 GB RAM)",Space Blue,4 GB,64 GB,13MP + 8MP + 5MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,999",https://www.flipkart.com/redmi-9-prime-space-blue-64-gb/p/itme138a7bc1c7f5?pid=MOBFUT9M84NDDYQN&lid=LSTMOBFUT9M84NDDYQN9NHPW2&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBFUT9M84NDDYQN.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
21,realme ,"realme Narzo 30 (Racing Blue, 128 GB)  (6 GB RAM)",Racing Blue,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 14,499",https://www.flipkart.com/realme-narzo-30-racing-blue-128-gb/p/itm957dacbc8270c?pid=MOBG3W3GSPZ2S3DY&lid=LSTMOBG3W3GSPZ2S3DY5CPSLS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBG3W3GSPZ2S3DY.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
22,Infinix ,"Infinix Hot 10 Play (Aegean Blue, 64 GB)  (4 GB RAM)",Aegean Blue,4 GB,64 GB,13MP + Depth Sensor,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,999",https://www.flipkart.com/infinix-hot-10-play-aegean-blue-64-gb/p/itm1f660c8716944?pid=MOBGFG7URKYYCXUS&lid=LSTMOBGFG7URKYYCXUSZ1U485&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBGFG7URKYYCXUS.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
23,Infinix ,"Infinix Hot 10 Play (Morandi Green, 64 GB)  (4 GB RAM)",Morandi Green,4 GB,64 GB,13MP + Depth Sensor,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,999",https://www.flipkart.com/infinix-hot-10-play-morandi-green-64-gb/p/itm1f660c8716944?pid=MOBGFG7U8PDJFFTJ&lid=LSTMOBGFG7U8PDJFFTJDLSYLK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=178185a5-c7d4-4795-83bb-ff091884a0d8.MOBGFG7U8PDJFFTJ.SEARCH&ppt=hp&ppn=homepage&ssid=o1k9dlpzwg0000001626780184900&qH=1036ba3c4ed2c021
